date,headline,url
03-Jan-2024,icici pru life shares rise 0 54 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,page industries shares drop 0 22 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update stocks that hit 52 week highs on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,pi industries shares down 0 2 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty auto index advances 1 14 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,chola inv finance shares up 1 22 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,share price of havells india rises as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,siemens shares up 0 91 as nifty falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update fmcg stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,shriram finance rises 1 69 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,irctc shares up 1 24 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,acc shares gain 2 12 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,sensex falls these stocks are down 5 or more on bse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,adani power shares rise 4 99 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,interglobe shares rise 1 1 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,sensex drops 200 points as global markets tumble nifty nears 21600,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty realty index advances 0 73 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
